TASK 78 -- THE ATTACHED CALLEE'S OWN ANSWER REGISTERS, READ OFF ITS BODY

bodies read: 76, from canon39_callee_units.json
archives: {"clang": "/usr/lib/llvm-21/lib/clang/21/lib/linux/libclang_rt.builtins-x86_64.a", "clang++": "/usr/lib/llvm-21/lib/clang/21/lib/linux/libclang_rt.builtins-x86_64.a", "gcc": "/usr/lib/gcc/x86_64-linux-gnu/15/libgcc.a", "rustc": "~/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/lib/libcompiler_builtins-17bce873ebfac7f5.rlib"}

callee arch unit                                                         n    families changed / refusal
swiftc/__divti3                                                          26   r8,r10,r11,r9,rcx,rdi,rsi,rax,rdx
swiftc/__extendhfsf2                                                     33   rdx,rcx,rax,rdi,xmm0
swiftc/__modti3                                                          31   r8,r10,r11,r9,rcx,rdi,rsi,rdx,rax
swiftc/__truncsfhf2                                                      79   rdi,r8,rsi,rdx,rcx,rax
swiftc/__udivmodti4                                                      90   r11,r9,r10,rcx,rax,rdx,rdi,rsi
swiftc/__udivti3                                                         2    r8,r11,r9,r10,rcx,rax,rdx,rdi,rsi
swiftc/__umodti3                                                         7    r8,r10,r11,r9,rcx,rdi,rsi,rax,rdx

readings made: 76   refused by name: 0   leaving a value on the x87 stack: 6

CROSS-CHECK, reported and never used: the reading names at least one of the stated calling convention's answer homes
  bodies whose reading names none of ('rax', 'rdx', 'xmm0', 'xmm1'): 0 
