canon39_wrapped_c.json: 610 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (1s)
canon39_regen_store/op_units2_c_c0013.json: 96 transcribed, 6 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0014.json: 96 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (4s)
canon39_regen_store/op_units2_c_c0015.json: 121 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0016.json: 124 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0017.json: 61 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0018.json: 47 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0019.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0020.json: 49 transcribed, 28 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0021.json: 96 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0022.json: 96 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0023.json: 124 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0024.json: 109 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0025.json: 48 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (5s)
canon39_regen_store/op_units2_c_c0026.json: 47 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (6s)
canon39_regen_store/op_units2_c_c0027.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (6s)
canon39_regen_store/op_units2_c_c0028.json: 73 transcribed, 30 canon39-refused skipped, 0 not banked, 0 disagreements (6s)
canon39_regen_store/op_units2_c_c0029.json: 93 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (6s)
canon39_regen_store/op_units2_c_c0030.json: 103 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (6s)
canon39_regen_store/op_units2_c_c0031.json: 125 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (7s)
canon39_regen_store/op_units2_c_c0032.json: 80 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (7s)
canon39_regen_store/op_units2_c_c0033.json: 67 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (7s)
canon39_regen_store/op_units2_c_c0034.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (7s)
canon39_regen_store/op_units2_c_c0035.json: 76 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (7s)
canon39_regen_store/op_units2_c_c0036.json: 76 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (8s)
canon39_regen_store/op_units2_c_c0037.json: 95 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (8s)
canon39_regen_store/op_units2_c_c0038.json: 95 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (8s)
canon39_regen_store/op_units2_c_c0039.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (8s)
canon39_regen_store/op_units2_c_c0040.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (8s)
canon39_regen_store/op_units2_c_c0041.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0042.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0043.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0044.json: 127 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0045.json: 125 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0046.json: 73 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0047.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (9s)
canon39_regen_store/op_units2_c_c0048.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (10s)
canon39_regen_store/op_units2_c_c0049.json: 72 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (10s)
canon39_regen_store/op_units2_c_c0050.json: 103 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (10s)
canon39_regen_store/op_units2_c_c0051.json: 102 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (10s)
canon39_regen_store/op_units2_c_c0052.json: 125 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (10s)
canon39_regen_store/op_units2_c_c0053.json: 123 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0054.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0055.json: 19 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0056.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0057.json: 65 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0058.json: 126 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0059.json: 83 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0060.json: 37 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0061.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0062.json: 76 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (11s)
canon39_regen_store/op_units2_c_c0063.json: 77 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0064.json: 127 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0065.json: 62 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0066.json: 19 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0067.json: 39 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0068.json: 75 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (12s)
canon39_regen_store/op_units2_c_c0069.json: 116 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0070.json: 91 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0071.json: 71 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0072.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0073.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0074.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0075.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (13s)
canon39_regen_store/op_units2_c_c0076.json: 80 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0077.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0078.json: 115 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0079.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0080.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0081.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (14s)
canon39_regen_store/op_units2_c_c0082.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0083.json: 100 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0084.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0085.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0086.json: 85 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0087.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0088.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (15s)
canon39_regen_store/op_units2_c_c0089.json: 52 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0090.json: 103 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0091.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0092.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0093.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0094.json: 55 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (16s)
canon39_regen_store/op_units2_c_c0095.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0096.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0097.json: 80 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0098.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0099.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0100.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0101.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0102.json: 52 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (17s)
canon39_regen_store/op_units2_c_c0103.json: 48 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0104.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0105.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0106.json: 90 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0107.json: 120 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0108.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0109.json: 77 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0110.json: 75 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (18s)
canon39_regen_store/op_units2_c_c0111.json: 23 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0112.json: 10 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0113.json: 130 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0114.json: 80 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0115.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0116.json: 125 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (19s)
canon39_regen_store/op_units2_c_c0117.json: 102 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0118.json: 42 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0119.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0120.json: 76 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0121.json: 76 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0122.json: 115 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0123.json: 75 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0124.json: 19 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0125.json: 28 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0126.json: 86 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0127.json: 104 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0128.json: 87 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_c_c0129.json: 37 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0000.json: 158 transcribed, 7 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0001.json: 105 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0002.json: 60 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0003.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0004.json: 27 transcribed, 29 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0005.json: 161 transcribed, 8 canon39-refused skipped, 0 not banked, 0 disagreements (20s)
canon39_regen_store/op_units2_cpp_c0006.json: 134 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0007.json: 112 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0008.json: 140 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0009.json: 95 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0010.json: 53 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0011.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0012.json: 28 transcribed, 29 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0013.json: 188 transcribed, 10 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0014.json: 111 transcribed, 7 canon39-refused skipped, 0 not banked, 0 disagreements (21s)
canon39_regen_store/op_units2_cpp_c0015.json: 139 transcribed, 6 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0016.json: 141 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0017.json: 86 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0018.json: 29 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0019.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0020.json: 55 transcribed, 32 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0021.json: 194 transcribed, 8 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0022.json: 109 transcribed, 8 canon39-refused skipped, 0 not banked, 0 disagreements (22s)
canon39_regen_store/op_units2_cpp_c0023.json: 141 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0024.json: 116 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0025.json: 81 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0026.json: 26 transcribed, 2 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0027.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0028.json: 87 transcribed, 34 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0029.json: 181 transcribed, 6 canon39-refused skipped, 0 not banked, 0 disagreements (23s)
canon39_regen_store/op_units2_cpp_c0030.json: 123 transcribed, 9 canon39-refused skipped, 0 not banked, 0 disagreements (24s)
canon39_regen_store/op_units2_cpp_c0031.json: 140 transcribed, 5 canon39-refused skipped, 0 not banked, 0 disagreements (24s)
canon39_regen_store/op_units2_cpp_c0032.json: 84 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (25s)
canon39_regen_store/op_units2_cpp_c0033.json: 81 transcribed, 3 canon39-refused skipped, 0 not banked, 0 disagreements (25s)
canon39_regen_store/op_units2_cpp_c0034.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (25s)
canon39_regen_store/op_units2_cpp_c0035.json: 99 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (25s)
canon39_regen_store/op_units2_cpp_c0036.json: 143 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (26s)
canon39_regen_store/op_units2_cpp_c0037.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (26s)
canon39_regen_store/op_units2_cpp_c0038.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0039.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0040.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0041.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0042.json: 196 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0043.json: 113 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (27s)
canon39_regen_store/op_units2_cpp_c0044.json: 141 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0045.json: 146 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0046.json: 90 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0047.json: 42 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0048.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0049.json: 84 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0050.json: 197 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (28s)
canon39_regen_store/op_units2_cpp_c0051.json: 113 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0052.json: 146 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0053.json: 132 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0054.json: 84 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0055.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0056.json: 63 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0057.json: 139 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (29s)
canon39_regen_store/op_units2_cpp_c0058.json: 148 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (30s)
canon39_regen_store/op_units2_cpp_c0059.json: 95 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (30s)
canon39_regen_store/op_units2_cpp_c0060.json: 39 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (30s)
canon39_regen_store/op_units2_cpp_c0061.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (30s)
canon39_regen_store/op_units2_cpp_c0062.json: 153 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (30s)
canon39_regen_store/op_units2_cpp_c0063.json: 96 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0064.json: 146 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0065.json: 89 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0066.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0067.json: 53 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0068.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (31s)
canon39_regen_store/op_units2_cpp_c0069.json: 141 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0070.json: 101 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0071.json: 72 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0072.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0073.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0074.json: 141 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (32s)
canon39_regen_store/op_units2_cpp_c0075.json: 167 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (33s)
canon39_regen_store/op_units2_cpp_c0076.json: 96 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (33s)
canon39_regen_store/op_units2_cpp_c0077.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (33s)
canon39_regen_store/op_units2_cpp_c0078.json: 123 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (33s)
canon39_regen_store/op_units2_cpp_c0079.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (34s)
canon39_regen_store/op_units2_cpp_c0080.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (34s)
canon39_regen_store/op_units2_cpp_c0081.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (34s)
canon39_regen_store/op_units2_cpp_c0082.json: 173 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (34s)
canon39_regen_store/op_units2_cpp_c0083.json: 135 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (34s)
canon39_regen_store/op_units2_cpp_c0084.json: 129 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0085.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0086.json: 90 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
