WORD FREQUENCY -- the owner's messages, dictionary bucket
unique roots: 2427   total occurrences: 32424
one bar = 10 occurrences, rounded (339 -> round(33.9) -> 34 bars)

root              count  bars
oh                   76  ||||||||
exist                74  |||||||
call                 73  |||||||
complete             73  |||||||
line                 73  |||||||
high                 72  |||||||
source               72  |||||||
context              71  |||||||
real                 71  |||||||
component            70  |||||||
give                 70  |||||||
logic                70  |||||||
already              68  |||||||
since                68  |||||||
compile              67  |||||||
two                  67  |||||||
verify               67  |||||||
application          66  |||||||
exact                66  |||||||
idea                 66  |||||||
suppose              66  |||||||
talk                 66  |||||||
create               65  ||||||
proceed              65  ||||||
current              64  ||||||
script               64  ||||||
decision             63  ||||||
sense                63  ||||||
contain              62  ||||||
long                 62  ||||||
process              62  ||||||
usage                62  ||||||
add                  61  ||||||
fold                 61  ||||||
great                61  ||||||
new                  61  ||||||
right                61  ||||||
screen               61  ||||||
type                 61  ||||||
ir                   60  ||||||
emit                 59  ||||||
require              59  ||||||
seem                 59  ||||||
ask                  58  ||||||
every                58  ||||||
return               58  ||||||
state                58  ||||||
able                 57  ||||||
develop              57  ||||||
operate              57  ||||||
thank                57  ||||||
anything             56  ||||||
else                 56  ||||||
fuck                 56  ||||||
time                 56  ||||||
well                 56  ||||||
name                 55  ||||||
target               55  ||||||
example              54  |||||
ledger               54  |||||
match                54  |||||
progress             54  |||||
tool                 54  |||||
discipline           53  |||||
part                 53  |||||
question             53  |||||
even                 52  |||||
implement            52  |||||
result               51  |||||
another              50  |||||
fail                 50  |||||
path                 50  |||||
however              49  |||||
nothing              49  |||||
wrap                 49  |||||
fine                 48  |||||
true                 48  |||||
document             47  |||||
equivalent           47  |||||
expect               47  |||||
find                 47  |||||
install              47  |||||
instance             47  |||||
take                 47  |||||
clear                46  |||||
design               46  |||||
error                46  |||||
kind                 46  |||||
oracle               46  |||||
step                 46  |||||
test                 46  |||||
view                 46  |||||
vs                   46  |||||
walk                 46  |||||
original             45  ||||
reason               45  ||||
communication        44  ||||
inform               44  ||||
less                 44  ||||
maybe                44  ||||
regard               44  ||||
version              44  ||||
form                 43  ||||
guess                43  ||||
protocol             43  ||||
rust                 43  ||||
text                 43  ||||
connect              42  ||||
note                 42  ||||
otherwise            42  ||||
detail               41  ||||
different            41  ||||
number               41  ||||
useful               41  ||||
confirm              40  ||||
full                 40  ||||
intention            40  ||||
literal              40  ||||
potential            40  ||||
public               40  ||||
remain               40  ||||
show                 40  ||||
sound                40  ||||
string               40  ||||
wire                 40  ||||
back                 39  ||||
explain              39  ||||
gemini               39  ||||
obvious              39  ||||
open                 39  ||||
tell                 39  ||||
answer               38  ||||
assume               38  ||||
fix                  38  ||||
general              38  ||||
hand                 38  ||||
opus                 38  ||||
solution             38  ||||
value                38  ||||
basic                37  ||||
false                37  ||||
follow               37  ||||
interpret            37  ||||
many                 37  ||||
miss                 37  ||||
move                 37  ||||
node                 37  ||||
per                  37  ||||
specialist           37  ||||
specific             37  ||||
write                37  ||||
android              36  ||||
best                 36  ||||
indent               36  ||||
model                36  ||||
set                  36  ||||
solve                36  ||||
static               36  ||||
either               35  ||||
nest                 35  ||||
place                35  ||||
simple               35  ||||
term                 35  ||||
block                34  |||
concern              34  |||
entire               34  |||
generate             34  |||
mention              34  |||
option               34  |||
order                34  |||
perhaps              34  |||
put                  34  |||
small                34  |||
bash                 33  |||
branch               33  |||
lot                  33  |||
tree                 33  |||
wrong                33  |||
automate             32  |||
better               32  |||
case                 32  |||
consider             32  |||
never                32  |||
seed                 32  |||
agree                31  |||
blank                31  |||
check                31  |||
depth                31  |||
differ               31  |||
difficult            31  |||
message              31  |||
prove                31  |||
relate               31  |||
though               31  |||
imagine              30  |||
pretty               30  |||
space                30  |||
upgrade              30  |||
confuse              29  |||
describe             29  |||
exception            29  |||
hold                 29  |||
import               29  |||
instead              29  |||
position             29  |||
produce              29  |||
research             29  |||
rule                 29  |||
wait                 29  |||
bite                 28  |||
bring                28  |||
construct            28  |||
data                 28  |||
enough               28  |||
flutter              28  |||
fresh                28  |||
handle               28  |||
hub                  28  |||
issue                28  |||
layer                28  |||
print                28  |||
rather               28  |||
size                 28  |||
stop                 28  |||
agent                27  |||
anyway               27  |||
face                 27  |||
far                  27  |||
input                27  |||
memory               27  |||
reach                27  |||
single               27  |||
table                27  |||
via                  27  |||
emulate              26  |||
essential            26  |||
focus                26  |||
harness              26  |||
hide                 26  |||
key                  26  |||
late                 26  |||
prefer               26  |||
report               26  |||
argument             25  ||
claude               25  ||
easy                 25  ||
fill                 25  ||
generalist           25  ||
leave                25  ||
preserve             25  ||
red                  25  ||
response             25  ||
unless               25  ||
close                24  ||
drop                 24  ||
green                24  ||
item                 24  ||
main                 24  ||
member               24  ||
perfect              24  ||
raw                  24  ||
resolve              24  ||
sonnet               24  ||
allow                23  ||
analysis             23  ||
certain              23  ||
comment              23  ||
feature              23  ||
md                   23  ||
method               23  ||
request              23  ||
search               23  ||
similar              23  ||
top                  23  ||
whether              23  ||
access               22  ||
big                  22  ||
direction            22  ||
display              22  ||
explicit             22  ||
fact                 22  ||
float                22  ||
java                 22  ||
local                22  ||
natural              22  ||
safe                 22  ||
select               22  ||
slice                22  ||
statement            22  ||
ability              21  ||
appreciate           21  ||
assess               21  ||
come                 21  ||
compute              21  ||
convert              21  ||
depend               21  ||
end                  21  ||
express              21  ||
index                21  ||
machine              21  ||
particular           21  ||
provide              21  ||
shit                 21  ||
word                 21  ||
active               20  ||
break                20  ||
cause                20  ||
condition            20  ||
constant             20  ||
content              20  ||
curious              20  ||
excellent            20  ||
extract              20  ||
format               20  ||
goal                 20  ||
grade                20  ||
help                 20  ||
low                  20  ||
modify               20  ||
previous             20  ||
react                20  ||
separate             20  ||
stick                20  ||
zero                 20  ||
absolute             19  ||
advance              19  ||
ah                   19  ||
become               19  ||
body                 19  ||
cannot               19  ||
clean                19  ||
collapse             19  ||
core                 19  ||
day                  19  ||
emitter              19  ||
empty                19  ||
entry                19  ||
explore              19  ||
forward              19  ||
important            19  ||
loop                 19  ||
lose                 19  ||
lower                19  ||
policy               19  ||
round                19  ||
signal               19  ||
amount               18  ||
believe              18  ||
command              18  ||
complex              18  ||
edit                 18  ||
insert               18  ||
limit                18  ||
list                 18  ||
maintain             18  ||
mechanical           18  ||
prevent              18  ||
program              18  ||
push                 18  ||
strong               18  ||
var                  18  ||
variable             18  ||
across               17  ||
always               17  ||
bar                  17  ||
behavior             17  ||
button               17  ||
cool                 17  ||
copy                 17  ||
count                17  ||
delegate             17  ||
experience           17  ||
fable                17  ||
force                17  ||
hard                 17  ||
home                 17  ||
hopefully            17  ||
last                 17  ||
live                 17  ||
observe              17  ||
present              17  ||
primitive            17  ||
recent               17  ||
several              17  ||
share                17  ||
strip                17  ||
whole                17  ||
wonder               17  ||
align                16  ||
aware                16  ||
curate               16  ||
dart                 16  ||
deep                 16  ||
finish               16  ||
interact             16  ||
manage               16  ||
near                 16  ||
null                 16  ||
play                 16  ||
private              16  ||
record               16  ||
reflect              16  ||
sandbox              16  ||
speak                16  ||
tab                  16  ||
unify                16  ||
user                 16  ||
architecture         15  ||
avoid                15  ||
bullet               15  ||
choice               15  ||
click                15  ||
course               15  ||
curation             15  ||
decide               15  ||
dynamic              15  ||
edge                 15  ||
establish            15  ||
explanation          15  ||
field                15  ||
grind                15  ||
kit                  15  ||
little               15  ||
merge                15  ||
mix                  15  ||
parse                15  ||
perspective          15  ||
pin                  15  ||
probably             15  ||
prompt               15  ||
risk                 15  ||
satisfy              15  ||
slight               15  ||
accomplish           14  |
antigravity          14  |
appear               14  |
arch                 14  |
away                 14  |
bare                 14  |
benefit              14  |
bunch                14  |
burn                 14  |
clarify              14  |
clone                14  |
compare              14  |
compress             14  |
cover                14  |
default              14  |
define               14  |
determine            14  |
direct               14  |
enable               14  |
ever                 14  |
exercise             14  |
expert               14  |
fast                 14  |
heavy                14  |
improve              14  |
intent               14  |
interest             14  |
man                  14  |
necessarily          14  |
none                 14  |
power                14  |
shape                14  |
stay                 14  |
successor            14  |
summarize            14  |
tag                  14  |
tap                  14  |
three                14  |
valid                14  |
welcome              14  |
alone                13  |
array                13  |
brief                13  |
bug                  13  |
commit               13  |
convention           13  |
draw                 13  |
effectively          13  |
effort               13  |
execution            13  |
forget               13  |
future               13  |
game                 13  |
identical            13  |
intelligence         13  |
large                13  |
minimize             13  |
priority             13  |
recommend            13  |
remove               13  |
respective           13  |
rout                 13  |
send                 13  |
service              13  |
spirit               13  |
strict               13  |
style                13  |
suggest              13  |
tabs                 13  |
token                13  |
waste                13  |
workout              13  |
worth                13  |
abstract             12  |
almost               12  |
along                12  |
append               12  |
aside                12  |
byte                 12  |
catch                12  |
control              12  |
crash                12  |
discuss              12  |
egress               12  |
evolve               12  |
failure              12  |
fit                  12  |
free                 12  |
gate                 12  |
graph                12  |
happen               12  |
imperative           12  |
implicit             12  |
indicate             12  |
initial              12  |
itself               12  |
layout               12  |
<user>                12  |
matter               12  |
metric               12  |
pattern              12  |
perform              12  |
person               12  |
pull                 12  |
ready                12  |
section              12  |
shut                 12  |
standard             12  |
super                12  |
swap                 12  |
switch               12  |
terminal             12  |
train                12  |
validate             12  |
ahead                11  |
artifact             11  |
base                 11  |
commentary           11  |
common               11  |
communicate          11  |
conversion           11  |
debug                11  |
definition           11  |
directory            11  |
drive                11  |
early                11  |
ensure               11  |
especially           11  |
eventually           11  |
feedback             11  |
fixture              11  |
flip                 11  |
flow                 11  |
framework            11  |
ignore               11  |
increase             11  |
incredible           11  |
lift                 11  |
markdown             11  |
mess                 11  |
middle               11  |
milestone            11  |
necessary            11  |
occur                11  |
overlay              11  |
principle            11  |
purpose              11  |
query                11  |
quick                11  |
sabotage             11  |
self                 11  |
short                11  |
significant          11  |
slow                 11  |
somewhere            11  |
special              11  |
struggle             11  |
thought              11  |
tractable            11  |
unique               11  |
universal            11  |
window               11  |
activate             10  |
adjust               10  |
analyze              10  |
annotation           10  |
area                 10  |
carry                10  |
central              10  |
child                10  |
column               10  |
comparison           10  |
compatible           10  |
definitely           10  |
delete               10  |
dense                10  |
dictionary           10  |
easily               10  |
elsewhere            10  |
engage               10  |
expand               10  |
fair                 10  |
frame                10  |
freedom              10  |
history              10  |
honest               10  |
immediate            10  |
involve              10  |
lead                 10  |
meet                 10  |
minimal              10  |
modification         10  |
multiple             10  |
ontology             10  |
operand              10  |
organize             10  |
reduce               10  |
render               10  |
rest                 10  |
reverse              10  |
robust               10  |
scope                10  |
second               10  |
stable               10  |
store                10  |
support              10  |
swift                10  |
translation          10  |
underneath           10  |
visible              10  |
widget               10  |
wow                  10  |
accord                9  |
accurate              9  |
around                9  |
assign                9  |
autonomous            9  |
bad                   9  |
brainstorm            9  |
ca                    9  |
coherent              9  |
conclude              9  |
connection            9  |
consistent            9  |
construction          9  |
damn                  9  |
demo                  9  |
efficient             9  |
equivalence           9  |
estimate              9  |
except                9  |
extra                 9  |
final                 9  |
handoff               9  |
human                 9  |
isolate               9  |
karma                 9  |
light                 9  |
load                  9  |
loose                 9  |
major                 9  |
navigate              9  |
notice                9  |
phase                 9  |
platform              9  |
plus                  9  |
propose               9  |
recursion             9  |
resolution            9  |
row                   9  |
save                  9  |
security              9  |
session               9  |
sight                 9  |
skip                  9  |
soon                  9  |
toward                9  |
trace                 9  |
trigger               9  |
visibility            9  |
watch                 9  |
abandon               8  |
accelerator           8  |
alternative           8  |
apis                  8  |
apply                 8  |
assumption            8  |
attribute             8  |
average               8  |
awesome               8  |
begin                 8  |
behind                8  |
beyond                8  |
capable               8  |
category              8  |
certainty             8  |
char                  8  |
character             8  |
churn                 8  |
collection            8  |
concede               8  |
concept               8  |
conceptual            8  |
concrete              8  |
consent               8  |
coordinate            8  |
crisis                8  |
dashboard             8  |
degree                8  |
desktop               8  |
device                8  |
energy                8  |
exit                  8  |
fall                  8  |
frequent              8  |
fundamental           8  |
global                8  |
head                  8  |
headless              8  |
hour                  8  |
identify              8  |
length                8  |
lox                   8  |
mapping               8  |
massive               8  |
measure               8  |
mode                  8  |
mostly                8  |
often                 8  |
old                   8  |
omit                  8  |
optimal               8  |
paradigm              8  |
parent                8  |
past                  8  |
persist               8  |
pick                  8  |
piece                 8  |
prior                 8  |
prose                 8  |
raise                 8  |
redundant             8  |
reply                 8  |
respond               8  |
rough                 8  |
safety                8  |
separation            8  |
settle                8  |
snap                  8  |
stack                 8  |
stub                  8  |
sufficient            8  |
underscore            8  |
visual                8  |
void                  8  |
warn                  8  |
account               7  |
addition              7  |
agnostic              7  |
ago                   7  |
alright               7  |
anthropic             7  |
anticipate            7  |
approach              7  |
automation            7  |
balance               7  |
behave                7  |
bind                  7  |
bottom                7  |
bulk                  7  |
capability            7  |
capture               7  |
care                  7  |
channel               7  |
chat                  7  |
compound              7  |
correction            7  |
despite               7  |
destabilize           7  |
distinction           7  |
doubt                 7  |
equal                 7  |
evaluate              7  |
evolution             7  |
execute               7  |
experiment            7  |
extern                7  |
external              7  |
fidelity              7  |
front                 7  |
frustrate             7  |
genuine               7  |
git                   7  |
god                   7  |
guard                 7  |
hang                  7  |
header                7  |
headline              7  |
hit                   7  |
holy                  7  |
hope                  7  |
hypothesis            7  |
imply                 7  |
infer                 7  |
ingress               7  |
instruct              7  |
instruction           7  |
intermediate          7  |
iterate               7  |
known                 7  |
kt                    7  |
lack                  7  |
launch                7  |
learn                 7  |
lesson                7  |
mature                7  |
minimum               7  |
native                7  |
normalize             7  |
onto                  7  |
optimize              7  |
overlap               7  |
pair                  7  |
panel                 7  |
percentage            7  |
precise               7  |
proof                 7  |
proper                7  |
pure                  7  |
recursive             7  |
relevant              7  |
scratch               7  |
sh                    7  |
sitter                7  |
someone               7  |
speed                 7  |
stage                 7  |
substantial           7  |
suite                 7  |
supposedly            7  |
theory                7  |
title                 7  |
together              7  |
touch                 7  |
truncate              7  |
trust                 7  |
tweak                 7  |
ultimate              7  |
unchanged             7  |
untested              7  |
verification          7  |
vocabulary            7  |
weird                 7  |
action                6  |
affect                6  |
although              6  |
approval              6  |
assembly              6  |
attention             6  |
binary                6  |
breakdown             6  |
center                6  |
choose                6  |
clutter               6  |
confidence            6  |
confident             6  |
constraint            6  |
contiguous            6  |
cycle                 6  |
derive                6  |
description           6  |
dir                   6  |
discussion            6  |
disturb               6  |
drift                 6  |
effect                6  |
equipment             6  |
evidence              6  |
expression            6  |
faithful              6  |
figure                6  |
fire                  6  |
flag                  6  |
flat                  6  |
grid                  6  |
increment             6  |
insertion             6  |
intelligent           6  |
inventory             6  |
knowledge             6  |
lean                  6  |
legal                 6  |
love                  6  |
mangle                6  |
minute                6  |
mirror                6  |
oppose                6  |
ourselves             6  |
partial               6  |
plugins               6  |
polish                6  |
press                 6  |
purposefully          6  |
quote                 6  |
reflection            6  |
register              6  |
remarkably            6  |
remind                6  |
represent             6  |
reset                 6  |
responsibility        6  |
ring                  6  |
silent                6  |
skill                 6  |
specify               6  |
spend                 6  |
straightforward       6  |
study                 6  |
suffer                6  |
technical             6  |
total                 6  |
translate             6  |
trivial               6  |
truly                 6  |
truth                 6  |
ubuntu                6  |
unreachable           6  |
unseen                6  |
unverified            6  |
violate               6  |
abstraction           5  
achieve               5  
advantage             5  
ambiguous             5  
apparently            5  
attach                5  
attempt               5  
available             5  
book                  5  
chain                 5  
challenge             5  
cheap                 5  
claim                 5  
clue                  5  
completion            5  
compression           5  
configuration         5  
converge              5  
couple                5  
defect                5  
deliberate            5  
demonstrate           5  
dependent             5  
destroy               5  
deviation             5  
disk                  5  
dominant              5  
draft                 5  
drastic               5  
element               5  
evaluation            5  
eye                   5  
flexible              5  
fork                  5  
foundation            5  
gap                   5  
grammar               5  
grow                  5  
hello                 5  
hi                    5  
highlight             5  
hypothetical          5  
identity              5  
infrastructure        5  
inherit               5  
inspect               5  
inspection            5  
intend                5  
introduce             5  
label                 5  
laptop                5  
leaf                  5  
life                  5  
lo                    5  
manual                5  
material              5  
mechanism             5  
migration             5  
nervous               5  
nice                  5  
official              5  
opinion               5  
opportunity           5  
os                    5  
patch                 5  
people                5  
plain                 5  
profile               5  
quality               5  
ram                   5  
random                5  
receive               5  
regular               5  
scale                 5  
scan                  5  
scientific            5  
snippet               5  
solid                 5  
sometimes             5  
split                 5  
status                5  
summary               5  
surprise              5  
syntax                5  
theme                 5  
thorough              5  
tier                  5  
treat                 5  
typical               5  
untouched             5  
urgent                5  
vacuum                5  
vague                 5  
various               5  
virtual               5  
vision                5  
weak                  5  
world                 5  
yourself              5  
adapt                 4  
address               4  
aggressive            4  
alter                 4  
anymore               4  
apple                 4  
archive               4  
assure                4  
awkward               4  
axis                  4  
beautiful             4  
bet                   4  
blind                 4  
blow                  4  
browse                4  
catastrophic          4  
cell                  4  
cheat                 4  
chronology            4  
circumstance          4  
combine               4  
complicate            4  
conclusion            4  
confusion             4  
conn                  4  
contract              4  
cost                  4  
crucial               4  
daemon                4  
dampen                4  
database              4  
db                    4  
dead                  4  
deal                  4  
declare               4  
definitively          4  
delta                 4  
demand                4  
detect                4  
dispatch              4  
distinct              4  
division              4  
downstream            4  
encourage             4  
entangle              4  
enter                 4  
event                 4  
excite                4  
excuse                4  
exec                  4  
exhaust               4  
expose                4  
extraction            4  
extremely             4  
faith                 4  
fake                  4  
familiar              4  
font                  4  
frequency             4  
funny                 4  
generic               4  
grant                 4  
graphic               4  
gym                   4  
harm                  4  
hoist                 4  
hybrid                4  
ideal                 4  
identifier            4  
indication            4  
influence             4  
info                  4  
iteration             4  
job                   4  
jump                  4  
justify               4  
land                  4  
library               4  
lie                   4  
master                4  
max                   4  
mental                4  
modular               4  
moment                4  
mystery               4  
navigation            4  
notation              4  
offense               4  
operation             4  
opposite              4  
outcome               4  
overhead              4  
override              4  
pending               4  
pep                   4  
permission            4  
phone                 4  
phrase                4  
pivot                 4  
popular               4  
practice              4  
precede               4  
problematic           4  
pursue                4  
redo                  4  
refine                4  
refuse                4  
respect               4  
reveal                4  
rich                  4  
rigorous              4  
root                  4  
sake                  4  
salvage               4  
score                 4  
scroll                4  
sec                   4  
sentence              4  
sequence              4  
setting               4  
sign                  4  
signature             4  
site                  4  
sophisticate          4  
spatial               4  
stand                 4  
stats                 4  
substrate             4  
succeed               4  
success               4  
suspicious            4  
tail                  4  
themselves            4  
throughout            4  
throw                 4  
topic                 4  
trip                  4  
unexpected            4  
upstream              4  
week                  4  
weight                4  
whereas               4  
width                 4  
win                   4  
absent                3  
absorb                3  
accept                3  
act                   3  
algorithm             3  
among                 3  
annotate              3  
apologize             3  
approximate           3  
arbitrary             3  
arguably              3  
arithmetic            3  
aspire                3  
assist                3  
autopilot             3  
backwards             3  
baseline              3  
bin                   3  
black                 3  
blueprint             3  
board                 3  
bone                  3  
bootstrap             3  
boundary              3  
box                   3  
bracket               3  
cache                 3  
candid                3  
capitalize            3  
card                  3  
categorize            3  
caveat                3  
chase                 3  
chip                  3  
clarification         3  
cold                  3  
collect               3  
com                   3  
concise               3  
conflict              3  
constrain             3  
convince              3  
coverage              3  
critical              3  
critique              3  
cross                 3  
custom                3  
cut                   3  
defend                3  
defer                 3  
deny                  3  
dependencies          3  
descent               3  
designate             3  
deterministic         3  
deviate               3  
dial                  3  
dig                   3  
digit                 3  
discover              3  
discrepancy           3  
diverge               3  
doc                   3  
dominance             3  
dominate              3  
dumb                  3  
eliminate             3  
enforce               3  
engineer              3  
expansion             3  
exponential           3  
factor                3  
filter                3  
flatten               3  
foot                  3  
forbid                3  
four                  3  
fucked                3  
gain                  3  
generous              3  
geometry              3  
group                 3  
growth                3  
habit                 3  
half                  3  
hash                  3  
hate                  3  
heuristic             3  
hot                   3  
hyperlink             3  
icon                  3  
idiomatic             3  
impression            3  
inert                 3  
ingest                3  
inspire               3  
integer               3  
interaction           3  
internal              3  
interrupt             3  
intervene             3  
intervention          3  
iron                  3  
jargon                3  
joke                  3  
lambda                3  
latent                3  
leak                  3  
location              3  
mappable              3  
mapper                3  
mark                  3  
mass                  3  
mechanize             3  
mine                  3  
mini                  3  
misaligned            3  
muscle                3  
narrow                3  
negative              3  
newly                 3  
occasion              3  
ongoing               3  
online                3  
opaque                3  
package               3  
paint                 3  
parallel              3  
patchy                3  
pause                 3  
persuasive            3  
precision             3  
predict               3  
prefix                3  
preliminary           3  
printout              3  
pro                   3  
probe                 3  
prototype             3  
rail                  3  
range                 3  
rate                  3  
registration          3  
relax                 3  
reliable              3  
relief                3  
rely                  3  
remote                3  
replace               3  
reps                  3  
reserve               3  
resist                3  
restore               3  
resume                3  
retrieval             3  
role                  3  
route                 3  
runaway               3  
salad                 3  
secondary             3  
sentient              3  
severe                3  
ship                  3  
shrink                3  
six                   3  
smooth                3  
somehow               3  
sp                    3  
spin                  3  
spread                3  
stale                 3  
statistic             3  
steer                 3  
strategy              3  
subtle                3  
sync                  3  
synced                3  
ten                   3  
therefore             3  
thesis                3  
thread                3  
tidy                  3  
ton                   3  
tournament            3  
trail                 3  
transition            3  
trouble               3  
truck                 3  
truncation            3  
unavoidable           3  
unbounded             3  
unfortunate           3  
union                 3  
universe              3  
upwards               3  
useless               3  
verbose               3  
viable                3  
warp                  3  
wheel                 3  
whenever              3  
wind                  3  
worry                 3  
zed                   3  
accidentally          2  
accommodate           2  
accordingly           2  
accumulate            2  
accuracy              2  
afterwards            2  
aggression            2  
ai                    2  
alien                 2  
altruistic            2  
animate               2  
appeal                2  
applicable            2  
approximation         2  
apt                   2  
arbitrarily           2  
argue                 2  
arrive                2  
arrow                 2  
aspect                2  
ass                   2  
atlas                 2  
author                2  
backtrack             2  
badly                 2  
bank                  2  
banner                2  
beneficial            2  
blend                 2  
bonus                 2  
boot                  2  
bother                2  
bridge                2  
brilliant             2  
broad                 2  
bucket                2  
bull                  2  
cage                  2  
calculate             2  
cancel                2  
cascade               2  
cater                 2  
checkpoint            2  
chunk                 2  
climate               2  
clock                 2  
clothe                2  
color                 2  
comfortable           2  
compassion            2  
compatibility         2  
compel                2  
compete               2  
competency            2  
competent             2  
conjunction           2  
convenient            2  
corner                2  
corrupt               2  
corruption            2  
crater                2  
crude                 2  
cruise                2  
cumbersome            2  
curiosity             2  
curl                  2  
dangerous             2  
date                  2  
decent                2  
decisive              2  
decline               2  
defensive             2  
deprecate             2  
desire                2  
detour                2  
di                    2  
diagnostic            2  
differential          2  
discard               2  
dismiss               2  
distance              2  
distinguish           2  
distraction           2  
divergent             2  
docker                2  
domain                2  
dry                   2  
dude                  2  
due                   2  
ease                  2  
echo                  2  
elevate               2  
elvis                 2  
emergence             2  
emission              2  
empirically           2  
enlarge               2  
entirety              2  
environment           2  
essence               2  
everywhere            2  
excruciatingly        2  
extension             2  
fan                   2  
fancy                 2  
feed                  2  
female                2  
finger                2  
fish                  2  
gauntlet              2  
gentle                2  
grab                  2  
gradient              2  
ground                2  
guarantee             2  
handwritten           2  
harvest               2  
hear                  2  
hesitant              2  
hey                   2  
hierarchy             2  
hole                  2  
hook                  2  
huge                  2  
huh                   2  
hyper                 2  
identifiable          2  
idiom                 2  
idle                  2  
image                 2  
indefinitely          2  
infinite              2  
initiate              2  
insult                2  
invert                2  
invoke                2  
irritate              2  
justification         2  
keyword               2  
kid                   2  
kill                  2  
lang                  2  
ledge                 2  
leverage              2  
lexeme                2  
liner                 2  
linux                 2  
lock                  2  
macro                 2  
maintenance           2  
matrix                2  
maximize              2  
meantime              2  
melt                  2  
menu                  2  
micro                 2  
mid                   2  
migrate               2  
million               2  
mobile                2  
moderate              2  
momentum              2  
month                 2  
moral                 2  
mysterious            2  
neither               2  
news                  2  
night                 2  
noise                 2  
notification          2  
nudge                 2  
ok                    2  
ordinary              2  
orient                2  
outrageous            2  
overly                2  
pad                   2  
pain                  2  
paragraph             2  
participate           2  
partition             2  
philosophically       2  
piss                  2  
pixel                 2  
plausible             2  
plug                  2  
populate              2  
portability           2  
positive              2  
predecessor           2  
prediction            2  
prepare               2  
presence              2  
pressure              2  
primary               2  
privilege             2  
procedure             2  
productive            2  
progression           2  
prologue              2  
property              2  
provably              2  
qualitative           2  
quite                 2  
rare                  2  
rational              2  
rd                    2  
readout               2  
redundancy            2  
reject                2  
relation              2  
rendering             2  
replicate             2  
residual              2  
retire                2  
retry                 2  
reuse                 2  
revert                2  
reward                2  
rid                   2  
road                  2  
robot                 2  
roll                  2  
room                  2  
runnable              2  
sample                2  
sassy                 2  
scanner               2  
scatter               2  
science               2  
semantic              2  
sensitive             2  
sentience             2  
sentiment             2  
seriously             2  
serve                 2  
shell                 2  
shoot                 2  
shutdown              2  
sibling               2  
simulate              2  
simultaneous          2  
sin                   2  
sink                  2  
sit                   2  
skeleton              2  
skull                 2  
slop                  2  
slot                  2  
software              2  
sole                  2  
sort                  2  
span                  2  
spawn                 2  
spectrum              2  
speculative           2  
spot                  2  
squarely              2  
star                  2  
steam                 2  
stem                  2  
straight              2  
stretch               2  
strike                2  
stupid                2  
subject               2  
subscription          2  
subset                2  
suck                  2  
surface               2  
symptom               2  
synchronize           2  
synthesize            2  
tackle                2  
tangle                2  
technology            2  
tend                  2  
terminology           2  
ternary               2  
tesla                 2  
theoretically         2  
thousand              2  
tight                 2  
tire                  2  
tooth                 2  
transfer              2  
transparent           2  
tricky                2  
twice                 2  
ugh                   2  
unconditional         2  
undisciplined         2  
undo                  2  
unexercised           2  
unhandled             2  
unit                  2  
unresolved            2  
untagged              2  
upper                 2  
usually               2  
verifiably            2  
visit                 2  
vulnerability         2  
wall                  2  
warm                  2  
web                   2  
webpage               2  
wherever              2  
